Source,Target,Number_mutations
0,63,1
0,65,1
0,70,1
0,79,1
0,80,1
0,41,1
0,101,1
0,90,1
0,88,1
0,44,1
0,48,1
63,115,1
63,116,1
63,125,1
70,144,1
0,130,2
70,127,1
63,128,1
63,146,1
63,117,1
0,122,2
0,123,2
0,140,2
63,118,1
63,113,1
0,141,2
63,148,1
63,142,1
63,133,1
63,137,1
70,134,1
0,119,2
63,147,1
63,124,1
63,145,1
65,129,1
41,136,1
63,152,2
63,149,2
70,151,2
63,150,2
70,165,3
0,160,4
