Source,Target,Number_mutations
0,4,1
0,11,1
0,6,1
0,1,1
0,9,1
0,2,1
0,5,1
0,7,1
0,3,1
0,10,1
0,8,1
6,17,1
4,21,1
4,22,1
4,35,1
4,33,1
4,26,1
4,13,1
4,36,1
4,15,1
6,30,1
4,12,1
4,14,1
4,34,1
1,28,1
4,20,1
4,29,1
4,37,1
6,27,1
4,16,1
5,23,1
0,18,2
0,25,2
0,24,2
0,31,2
0,32,2
0,19,2
4,39,2
4,41,2
6,40,2
4,38,2
6,42,3
0,43,4
